iso_code,date,total_cases,new_cases,total_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths,,,
USA,1/22/2020,1,0,0,0.003,0,0,0,0,,,
USA,1/23/2020,1,0,0,0.003,0,0,0,0,,,
USA,1/24/2020,2,1,0,0.006,0.003,0,0,0,,,
USA,1/25/2020,2,0,0,0.006,0,0,0,0,,,13.397
USA,1/26/2020,5,3,0,0.015,0.009,0,0,0,,,
USA,1/27/2020,5,0,0,0.015,0,0,0,0,,,
USA,1/28/2020,5,0,0,0.015,0,0,0,0,,,
USA,1/29/2020,6,1,0,0.018,0.003,0,0,0,,,
USA,1/30/2020,6,0,0,0.018,0,0,0,0,,,
USA,1/31/2020,8,2,0,0.024,0.006,0,0,0,,,
USA,2/1/2020,8,0,0,0.024,0,0,0,0,,,
USA,2/2/2020,8,0,0,0.024,0,0,0,0,,,
USA,2/3/2020,11,3,0,0.033,0.009,0,0,0,,,
USA,2/4/2020,11,0,0,0.033,0,0,0,0,,,
USA,2/5/2020,11,0,0,0.033,0,0,0,0,,,
USA,2/6/2020,12,1,0,0.036,0.003,0,0,0,,,
USA,2/7/2020,12,0,0,0.036,0,0,0,0,,,
USA,2/8/2020,12,0,0,0.036,0,0,0,0,,,
USA,2/9/2020,12,0,0,0.036,0,0,0,0,,,
USA,2/10/2020,12,0,0,0.036,0,0,0,0,,,
USA,2/11/2020,13,1,0,0.039,0.003,0,0,0,,,
USA,2/12/2020,13,0,0,0.039,0,0,0,0,,,
USA,2/13/2020,14,1,0,0.042,0.003,0,0,0,,,
USA,2/14/2020,14,0,0,0.042,0,0,0,0,,,
USA,2/15/2020,14,0,0,0.042,0,0,0,0,,,
USA,2/16/2020,14,0,0,0.042,0,0,0,0,,,
USA,2/17/2020,14,0,0,0.042,0,0,0,0,,,
USA,2/18/2020,14,0,0,0.042,0,0,0,0,,,
USA,2/19/2020,14,0,0,0.042,0,0,0,0,,,
USA,2/20/2020,14,0,0,0.042,0,0,0,0,,,
USA,2/21/2020,16,2,0,0.048,0.006,0,0,0,,,
USA,2/22/2020,16,0,0,0.048,0,0,0,0,,,
USA,2/23/2020,16,0,0,0.048,0,0,0,0,,,
USA,2/24/2020,16,0,0,0.048,0,0,0,0,,,
USA,2/25/2020,16,0,0,0.048,0,0,0,0,,,
USA,2/26/2020,16,0,0,0.048,0,0,0,0,,,
USA,2/27/2020,17,1,0,0.051,0.003,0,0,0,,,
USA,2/28/2020,17,0,0,0.051,0,0,0,0,,,
USA,2/29/2020,25,8,1,0.075,0.024,0.003,0.003,1,,,
USA,3/1/2020,32,7,1,0.096,0.021,0.003,0,0,,,
USA,3/2/2020,55,23,6,0.165,0.069,0.018,0.015,5,,,
USA,3/3/2020,74,19,7,0.222,0.057,0.021,0.003,1,,,
USA,3/4/2020,107,33,11,0.321,0.099,0.033,0.012,4,,,
USA,3/5/2020,184,77,12,0.553,0.231,0.036,0.003,1,,,
USA,3/6/2020,237,53,14,0.712,0.159,0.042,0.006,2,,,
USA,3/7/2020,403,166,17,1.211,0.499,0.051,0.009,3,,,
USA,3/8/2020,519,116,21,1.559,0.348,0.063,0.012,4,,,
USA,3/9/2020,594,75,22,1.784,0.225,0.066,0.003,1,,,
USA,3/10/2020,782,188,28,2.349,0.565,0.084,0.018,6,,,
USA,3/11/2020,1147,365,33,3.445,1.096,0.099,0.015,5,,,
USA,3/12/2020,1586,439,43,4.764,1.319,0.129,0.03,10,,,
USA,3/13/2020,2219,633,51,6.665,1.901,0.153,0.024,8,,,
USA,3/14/2020,2978,759,58,8.945,2.28,0.174,0.021,7,,,
USA,3/15/2020,3212,234,70,9.648,0.703,0.21,0.036,12,,,
USA,3/16/2020,4679,1467,97,14.055,4.407,0.291,0.081,27,,,
USA,3/17/2020,6512,1833,134,19.561,5.506,0.403,0.111,37,,,
USA,3/18/2020,9169,2657,194,27.542,7.981,0.583,0.18,60,,,
USA,3/19/2020,13663,4494,266,41.04,13.499,0.799,0.216,72,,,
USA,3/20/2020,20030,6367,372,60.165,19.125,1.117,0.318,106,,,
USA,3/21/2020,26025,5995,475,78.173,18.008,1.427,0.309,103,,,
USA,3/22/2020,34944,8919,603,104.964,26.791,1.811,0.384,128,,,
USA,3/23/2020,46096,11152,792,138.462,33.498,2.379,0.568,189,,,
USA,3/24/2020,56714,10618,1033,170.356,31.894,3.103,0.724,241,,,
USA,3/25/2020,68841,12127,1369,206.782,36.427,4.112,1.009,336,,,
USA,3/26/2020,86662,17821,1785,260.313,53.53,5.362,1.25,416,,,
USA,3/27/2020,105253,18591,2304,316.156,55.843,6.921,1.559,519,,,
USA,3/28/2020,127417,22164,2977,382.731,66.576,8.942,2.022,673,,,
USA,3/29/2020,143544,16127,3569,431.173,48.442,10.72,1.778,592,,,
USA,3/30/2020,165698,22154,4280,497.719,66.545,12.856,2.136,711,,,
USA,3/31/2020,192079,26381,5362,576.961,79.242,16.106,3.25,1082,,,
USA,4/1/2020,224281,32202,6636,673.688,96.727,19.933,3.827,1274,,,
USA,4/2/2020,256626,32345,8151,770.845,97.157,24.484,4.551,1515,,,
USA,4/3/2020,288993,32367,9558,868.068,97.223,28.71,4.226,1407,,,
USA,4/4/2020,321379,32386,11167,965.348,97.28,33.543,4.833,1609,,,
USA,4/5/2020,350713,29334,12799,1053.461,88.113,38.445,4.902,1632,,,
USA,4/6/2020,382646,31933,14536,1149.38,95.919,43.663,5.218,1737,,,
USA,4/7/2020,413222,30576,17106,1241.223,91.843,51.382,7.72,2570,,,
USA,4/8/2020,444341,31119,19260,1334.698,93.474,57.853,6.47,2154,,,
USA,4/9/2020,480413,36072,21475,1443.05,108.352,64.506,6.653,2215,,,
USA,4/10/2020,514690,34277,23663,1546.01,102.96,71.078,6.572,2188,,,
USA,4/11/2020,543878,29188,25801,1633.684,87.674,77.5,6.422,2138,,,
USA,4/12/2020,570812,26934,27693,1714.587,80.904,83.183,5.683,1892,,,
USA,4/13/2020,597803,26991,29675,1795.662,81.075,89.137,5.953,1982,,,
USA,4/14/2020,626217,28414,32128,1881.011,85.349,96.505,7.368,2453,,,
USA,4/15/2020,652179,25962,34719,1958.995,77.984,104.288,7.783,2591,,,
USA,4/16/2020,682442,30263,36917,2049.898,90.903,110.89,6.602,2198,,,
USA,4/17/2020,715446,33004,39030,2149.035,99.136,117.237,6.347,2113,,,
USA,4/18/2020,743379,27933,40970,2232.939,83.904,123.064,5.827,1940,,,
USA,4/19/2020,769251,25872,42959,2310.652,77.714,129.039,5.974,1989,,,
USA,4/20/2020,799039,29788,45203,2400.129,89.476,135.779,6.74,2244,,,
USA,4/21/2020,825257,26218,47662,2478.881,78.753,143.166,7.386,2459,,,
USA,4/22/2020,854328,29071,50135,2566.204,87.323,150.594,7.428,2473,,,
USA,4/23/2020,887581,33253,52570,2666.088,99.884,157.908,7.314,2435,,,
USA,4/24/2020,919920,32339,54748,2763.227,97.139,164.45,6.542,2178,,,
USA,4/25/2020,950298,30378,56472,2854.476,91.248,169.629,5.178,1724,,,
USA,4/26/2020,976871,26573,57885,2934.295,79.819,173.873,4.244,1413,,,
USA,4/27/2020,1000666,23795,59380,3005.77,71.475,178.364,4.491,1495,,,
USA,4/28/2020,1025354,24688,61608,3079.927,74.157,185.056,6.692,2228,,,
USA,4/29/2020,1051785,26431,64006,3159.319,79.393,192.259,7.203,2398,,,
USA,4/30/2020,1080942,29157,66187,3246.9,87.581,198.81,6.551,2181,,,
USA,5/1/2020,1115844,34902,68098,3351.738,104.838,204.551,5.74,1911,,,
USA,5/2/2020,1143248,27404,69833,3434.053,82.315,209.762,5.212,1735,,,
USA,5/3/2020,1167577,24329,71032,3507.132,73.079,213.364,3.602,1199,,,
USA,5/4/2020,1191815,24238,72409,3579.937,72.805,217.5,4.136,1377,,,
USA,5/5/2020,1216263,24448,74616,3653.373,73.436,224.129,6.629,2207,,,
USA,5/6/2020,1240643,24380,76937,3726.605,73.232,231.101,6.972,2321,,,
USA,5/7/2020,1268262,27619,78856,3809.566,82.961,236.865,5.764,1919,,,
USA,5/8/2020,1295396,27134,80615,3891.07,81.504,242.149,5.284,1759,,,
USA,5/9/2020,1320096,24700,82084,3965.264,74.193,246.561,4.413,1469,,,
USA,5/10/2020,1339110,19014,83075,4022.377,57.114,249.538,2.977,991,,,
USA,5/11/2020,1358249,19139,84112,4079.866,57.489,252.653,3.115,1037,,,
USA,5/12/2020,1381136,22887,85709,4148.614,68.747,257.45,4.797,1597,,,
USA,5/13/2020,1401652,20516,87432,4210.239,61.625,262.626,5.175,1723,,,
USA,5/14/2020,1428388,26736,89207,4290.548,80.309,267.957,5.332,1775,,,
USA,5/15/2020,1453085,24697,90872,4364.732,74.184,272.959,5.001,1665,,,
USA,5/16/2020,1477370,24285,92073,4437.678,72.947,276.566,3.608,1201,,,
USA,5/17/2020,1496009,18639,92902,4493.666,55.987,279.056,2.49,829,,,
USA,5/18/2020,1518223,22214,94130,4560.391,66.726,282.745,3.689,1228,,,
USA,5/19/2020,1539142,20919,95582,4623.227,62.836,287.106,4.361,1452,,,
USA,5/20/2020,1561937,22795,97081,4691.698,68.471,291.609,4.503,1499,,,
USA,5/21/2020,1587724,25787,98268,4769.156,77.458,295.174,3.565,1187,,,
USA,5/22/2020,1611383,23659,99493,4840.222,71.066,298.854,3.68,1225,,,
USA,5/23/2020,1632503,21120,100573,4903.662,63.44,302.098,3.244,1080,,,
USA,5/24/2020,1652809,20306,101213,4964.657,60.995,304.02,1.922,640,,,
USA,5/25/2020,1671298,18489,101811,5020.193,55.537,305.817,1.796,598,,,
USA,5/26/2020,1690282,18984,102489,5077.217,57.024,307.853,2.037,678,,,
USA,5/27/2020,1709756,19474,103942,5135.712,58.495,312.218,4.364,1453,,,
USA,5/28/2020,1731479,21723,105035,5200.963,65.251,315.501,3.283,1093,,,
USA,5/29/2020,1756127,24648,106161,5275,74.037,318.883,3.382,1126,,,
USA,5/30/2020,1780340,24213,107115,5347.73,72.73,321.749,2.866,954,,,
USA,5/31/2020,1799674,19334,107733,5405.805,58.075,323.605,1.856,618,,,
USA,6/1/2020,1816679,17005,108501,5456.884,51.079,325.912,2.307,768,,,
USA,6/2/2020,1837948,21269,109482,5520.771,63.887,328.859,2.947,981,,,
USA,6/3/2020,1857728,19780,110489,5580.186,59.415,331.883,3.025,1007,,,
USA,6/4/2020,1879463,21735,111487,5645.473,65.287,334.881,2.998,998,,,
USA,6/5/2020,1904375,24912,112376,5720.303,74.83,337.552,2.67,889,,,
USA,6/6/2020,1925849,21474,113018,5784.806,64.503,339.48,1.928,642,,,
USA,6/7/2020,1944117,18268,113478,5839.679,54.873,340.862,1.382,460,,,
USA,6/8/2020,1960815,16698,113986,5889.835,50.157,342.388,1.526,508,,,
USA,6/9/2020,1978823,18008,114894,5943.927,54.092,345.115,2.727,908,,,
USA,6/10/2020,2000019,21196,115771,6007.595,63.668,347.749,2.634,877,,,
USA,6/11/2020,2022421,22402,116597,6074.886,67.29,350.23,2.481,826,,,
USA,6/12/2020,2047570,25149,117424,6150.427,75.542,352.715,2.484,827,,,
USA,6/13/2020,2072696,25126,118163,6225.9,75.473,354.934,2.22,739,,,
USA,6/14/2020,2092027,19331,118507,6283.966,58.066,355.968,1.033,344,,,
USA,6/15/2020,2110610,18583,118905,6339.785,55.819,357.163,1.196,398,,,
USA,6/16/2020,2134511,23901,119715,6411.578,71.793,359.596,2.433,810,,,
USA,6/17/2020,2161726,27215,120454,6493.326,81.748,361.816,2.22,739,,,
USA,6/18/2020,2190127,28401,121145,6578.636,85.31,363.892,2.076,691,,,
USA,6/19/2020,2221812,31685,121774,6673.81,95.174,365.781,1.889,629,,,
USA,6/20/2020,2254346,32534,122330,6771.535,97.725,367.451,1.67,556,,,
USA,6/21/2020,2280413,26067,122650,6849.834,78.299,368.412,0.961,320,,,
USA,6/22/2020,2311569,31156,123056,6943.419,93.585,369.632,1.22,406,,,
USA,6/23/2020,2348835,37266,123804,7055.358,111.938,371.879,2.247,748,,,
USA,6/24/2020,2385047,36212,124541,7164.13,108.772,374.092,2.214,737,,,
USA,6/25/2020,2425307,40260,125079,7285.062,120.932,375.708,1.616,538,,,
USA,6/26/2020,2471626,46319,125707,7424.194,139.132,377.595,1.886,628,,,
USA,6/27/2020,2513324,41698,126214,7549.445,125.251,379.118,1.523,507,,,
USA,6/28/2020,2555120,41796,126530,7674.99,125.546,380.067,0.949,316,,,
USA,6/29/2020,2594820,39700,126916,7794.24,119.25,381.226,1.159,386,,,
USA,6/30/2020,2643189,48369,127471,7939.529,145.289,382.893,1.667,555,,,
USA,7/1/2020,2694755,51566,128171,8094.422,154.892,384.996,2.103,700,,,
USA,7/2/2020,2751125,56370,128881,8263.744,169.322,387.129,2.133,710,,,
USA,7/3/2020,2803742,52617,129551,8421.793,158.049,389.141,2.013,670,,,
